spike_length,num_grains,awn_length,awn_density,mean_hue,grain_size_mean,texture_contrast,grain_density,label
2992,2,1792.1828887462616,64884,78.07750423178811,220.4726216412491,72.51228619472259,0.0006684491978609625,0
2992,2,1711.1706961393356,65090,78.07520624884367,212.98456573593378,82.32621652383143,0.0006684491978609625,0
2992,2,3807.4359678030014,165789,68.59001891859702,130.4124700239808,167.94854183189545,0.0006684491978609625,0
2992,2,1790.1828883886337,64880,78.07285466321768,220.69918580982844,72.51273656432778,0.0006684491978609625,0
2992,2,1710.1706961393356,65093,78.07520624884367,212.98456573593378,82.32621406218391,0.0006684491978609625,0
2992,2,1711.1706961393356,65035,78.06532971041798,212.71832959641256,82.32597931052386,0.0006684491978609625,0
2793,2,3087.2816462516785,89542,64.36843312183379,213.39752475247525,68.55995980353369,0.0007160759040458289,0
2793,2,2803.179055094719,89312,64.36015290319293,208.21156013524393,100.50226258976062,0.0007160759040458289,0
2793,2,3088.0390058755875,89623,64.3658020665908,212.8730864197531,68.55878526198195,0.0007160759040458289,0
2793,2,2802.764841556549,89262,64.36015418213655,208.21156013524393,100.50225520481803,0.0007160759040458289,0
2793,2,2797.693773627281,89319,64.35327398615955,208.51821992905514,100.50291604528718,0.0007160759040458289,0
2943,2,3058.774938225746,141608,67.06162111980625,124.97903733693208,117.68420564424449,0.0006795786612300374,0
2943,2,3064.189151763916,141475,67.05283855489486,120.42128987517337,176.58056301012056,0.0006795786612300374,0
2992,2,1748.0449287891388,51512,64.71827349046914,174.43127306273064,71.1316870655192,0.0006684491978609625,0
2943,2,3059.774938225746,141565,67.06360268181894,124.70939940748721,117.68261687454907,0.0006795786612300374,0
2943,2,3064.189151763916,141495,67.05283855489486,120.42128987517337,176.58056882856013,0.0006795786612300374,0
2943,2,3063.9465111494064,141554,67.03409508220994,120.60887306824101,176.5821951943269,0.0006795786612300374,0
2929,2,2976.2900084257126,67325,61.80295735276515,167.10343546889507,65.9869218261307,0.0006828269033799932,0
2929,2,2980.3905218839645,67799,61.81202528795654,162.3657524359437,49.64534316709306,0.0006828269033799932,0
